Timestamp,เพศ,ช่วงอายุ,ระดับการศึกษา,อาชีพ,ความถี่ในการใช้งานเว็บไซต์อีคอมเมิร์ซ,1. เว็บไซต์มีความสวยงาม ดึงดูด และใช้งานง่าย,2. เมนูและปุ่มต่าง ๆ จัดวางเข้าใจง่าย,3. ระบบค้นหาหรือกรองสินค้ามีประสิทธิภาพ,4. เว็บไซต์โหลดได้รวดเร็วและไม่ค้าง,5. ขั้นตอนการเลือกสินค้าและสั่งซื้อไม่ยุ่งยาก,6. ระบบตะกร้าสินค้าและการชำระเงินทำงานได้ถูกต้อง,7. การแจ้งเตือนหรือยืนยันคำสั่งซื้อมีความถูกต้อง,8. ขั้นตอนการเข้าร่วมกลุ่มหรือสร้างกลุ่มเข้าใจง่าย,9. ระบบแสดงสถานะของกลุ่ม (จำนวนสมาชิก / เวลาที่เหลือ) ชัดเจน,10. ระบบ Group Buying ช่วยให้ซื้อสินค้าได้ในราคาที่คุ้มค่ามากขึ้น,11. โดยรวมแล้วท่านพึงพอใจกับประสบการณ์การใช้งานเว็บไซต์ SupplyGo,12. ท่านจะแนะนำเว็บไซต์นี้ให้ผู้อื่นหรือไม่,ท่านมีข้อเสนอแนะหรือความคิดเห็นเพิ่มเติมเกี่ยวกับเว็บไซต์ SupplyGo หรือระบบ Group Buying หรือไม่
11/3/2025 13:38:27,ชาย,18-24 ปี,ปริญญาตรี,นักเรียน/นักศึกษา,ทุกสัปดาห์,5,5,4,5,4,5,5,4,5,5,5,5,
11/3/2025 13:39:28,ชาย,18-24 ปี,ปริญญาตรี,นักเรียน/นักศึกษา,นานๆครั้ง,4,5,4,4,4,4,4,4,4,4,4,4,อยากให้มีวิดีโอการใช้งานของสินค้าเพื่อเพิ่มความดึงดูดในการทำงานของระบบ
11/3/2025 13:41:04,ชาย,18-24 ปี,ปริญญาตรี,นักเรียน/นักศึกษา,นานๆครั้ง,4,3,3,3,3,3,3,3,3,3,4,3,อยากให้เพิ่มระบบริวิวสินค้า
11/3/2025 13:42:03,ชาย,18-24 ปี,ปริญญาตรี,นักเรียน/นักศึกษา,เดือนละ 1-3 ครั้ง,4,3,4,3,4,4,4,3,4,4,3,4,อยากให้มี ฟังก์ชันมากกว่านี้ พร้อมมีระบบรีวิวสินค้า
2025-11-03 06:54:42,ชาย,21,ปริญญาโท,2,3,4,2,4,4,1,5,5,1,2025-11-03 06:54:42,1,4,ดีแต่ยังไม่สุด,เพิ่มระบบค้นหา
2025-11-03 06:54:42,หญิง,18,ปริญญาตรี,3,3,4,3,3,5,2,4,1,5,2025-11-03 06:54:42,4,1,UI ยังแข็ง,อยากให้ตอบแชทเร็วขึ้น
2025-11-03 06:54:42,หญิง,19,มัธยมศึกษาตอนปลาย,3,1,4,1,4,1,5,4,4,1,2025-11-03 06:54:42,4,5,โหลดช้า,เพิ่มสินค้าหน่อย
2025-11-03 06:54:42,ชาย,22,ปริญญาตรี,2,1,2,3,1,4,3,5,2,5,2025-11-03 06:54:42,4,5,เพิ่มระบบค้นหา,ดีแต่ยังไม่สุด
2025-11-03 06:54:42,หญิง,23,ปริญญาตรี,2,2,2,4,4,2,1,4,5,3,2025-11-03 06:54:42,2,1,เพิ่มสินค้าหน่อย,เพิ่มสินค้าหน่อย
2025-11-03 06:54:42,หญิง,20,ปริญญาโท,5,5,3,5,4,2,5,4,4,3,2025-11-03 06:54:42,1,1,UI ยังแข็ง,โหลดช้า
2025-11-03 06:54:42,หญิง,18,ปริญญาตรี,2,5,5,2,4,1,4,5,3,1,2025-11-03 06:54:42,4,3,UI ยังแข็ง,เพิ่มสินค้าหน่อย
2025-11-03 06:54:42,ชาย,24,ปริญญาตรี,1,1,4,2,1,1,3,4,2,5,2025-11-03 06:54:42,3,3,UI ยังแข็ง,ดีใช้ได้
2025-11-03 06:54:42,หญิง,21,มัธยมศึกษาตอนปลาย,2,4,3,5,5,5,5,1,5,5,2025-11-03 06:54:42,1,3,ดีแต่ยังไม่สุด,อยากให้มีแอป
2025-11-03 06:54:42,หญิง,20,มัธยมศึกษาตอนปลาย,3,3,2,2,1,5,3,2,1,5,2025-11-03 06:54:42,1,3,เพิ่มระบบค้นหา,อยากให้มีแอป
2025-11-03 06:54:42,หญิง,22,ปริญญาโท,5,1,4,3,5,5,4,4,2,2,2025-11-03 06:54:42,3,5,เพิ่มระบบค้นหา,UI ยังแข็ง
2025-11-03 06:54:42,ชาย,23,มัธยมศึกษาตอนปลาย,1,5,2,3,2,2,3,2,3,2,2025-11-03 06:54:42,3,2,โหลดช้า,เพิ่มสินค้าหน่อย
2025-11-03 06:54:42,หญิง,21,ปริญญาตรี,3,1,4,5,3,5,2,3,5,1,2025-11-03 06:54:42,5,1,อยากให้ตอบแชทเร็วขึ้น,ดีแต่ยังไม่สุด
2025-11-03 06:54:42,หญิง,23,มัธยมศึกษาตอนปลาย,4,3,2,2,4,4,1,1,3,3,2025-11-03 06:54:42,4,1,UI ยังแข็ง,เพิ่มระบบค้นหา
2025-11-03 06:54:42,ชาย,24,ปริญญาโท,4,1,5,5,4,3,4,2,5,5,2025-11-03 06:54:42,4,1,อยากให้มีแอป,อยากให้มีแอป
2025-11-03 06:54:42,หญิง,22,มัธยมศึกษาตอนปลาย,3,2,5,3,5,4,4,5,5,2,2025-11-03 06:54:42,3,1,ดีใช้ได้,อยากให้ตอบแชทเร็วขึ้น
